id,saker_id,emne_id
88083,2319,211
88376,2322,21
88377,2322,22
88378,2322,139
88379,2322,163
88351,2323,87
88352,2323,187
88372,2324,2
88373,2324,37
88374,2324,184
88375,2324,189
87852,2337,11
87853,2337,12
87854,2337,40
87855,2337,43
88188,2339,39
88189,2339,46
88190,2339,132
88191,2339,184
88192,2340,8
88193,2340,37
88194,2340,184
88195,2341,37
88196,2341,61
88197,2341,63
88198,2341,66
88199,2341,184
88200,2342,31
88201,2342,32
88202,2342,37
88203,2342,184
87800,2374,11
87801,2374,29
87802,2374,141
87803,2374,151
88140,2381,163
88141,2381,168
88142,2381,173
88143,2381,177
88144,2381,180
88102,2384,163
88103,2384,167
88104,2384,168
88105,2384,174
88084,2389,61
88085,2389,63
88086,2389,66
87892,2406,46
87893,2406,69
87894,2406,83
87895,2406,187
87714,2407,2
87715,2407,106
87721,2424,5
87722,2424,32
87723,2424,58
87724,2424,94
87725,2424,187
87809,2425,2
87810,2425,107
87850,2426,18
87851,2426,184
88162,2427,18
88163,2427,32
88164,2427,33
88165,2427,105
88166,2427,183
88167,2427,184
88172,2438,52
88173,2438,135
88174,2438,184
88175,2439,37
88176,2439,61
88177,2439,63
88178,2439,184
88170,2446,151
88171,2446,203
87726,2454,5
87727,2454,32
87728,2454,58
87729,2454,94
87730,2454,95
87731,2454,187
87732,2454,192
87882,2466,2
87883,2466,163
87884,2466,171
87885,2466,179
88158,2468,2
88159,2468,163
88160,2468,171
88161,2468,179
87907,2471,32
87908,2471,61
87909,2471,64
87910,2471,159
88730,2489,11
88731,2489,59
88732,2489,181
88733,2489,185
88734,2489,187
88710,2490,11
88711,2490,15
88712,2490,185
88713,2490,187
88765,2491,185
88766,2491,187
88027,2492,163
88028,2492,166
88029,2492,177
88147,2496,52
88148,2496,135
88149,2496,184
88767,2500,185
88768,2500,187
87565,2505,61
87566,2505,66
87772,2509,98
87773,2509,113
87736,2510,58
87737,2510,187
87843,2528,29
87844,2528,136
87845,2528,139
87846,2528,151
87847,2528,184
88094,2531,61
88095,2531,63
87911,2564,99
87912,2564,113
87913,2564,163
87914,2564,166
87915,2564,173
88023,2565,54
88024,2565,187
88025,2566,54
88026,2566,187
87733,2567,5
87734,2567,7
87735,2567,95
87763,2568,143
87764,2568,163
87765,2568,173
87880,2569,2
87881,2569,179
87811,2571,163
87812,2571,165
87813,2571,166
87814,2572,45
87815,2572,163
87816,2572,166
87303,2575,59
87304,2575,60
87305,2575,163
87306,2575,166
87307,2575,177
87237,2577,46
87284,2578,10
87285,2578,186
87238,2579,5
87239,2579,44
87240,2579,95
87241,2579,155
87745,2580,10
87746,2580,186
87310,2581,59
87311,2581,60
87312,2581,163
87313,2581,166
87314,2581,177
87631,2582,163
87632,2582,170
87633,2583,163
87634,2583,168
87457,2586,51
87458,2586,155
87308,2587,163
87309,2587,177
87431,2588,40
87432,2588,42
87433,2589,40
87455,2591,40
87456,2591,43
87286,2593,61
87287,2593,62
87288,2593,64
87289,2595,61
87290,2595,63
87291,2595,66
87292,2595,188
87459,2596,98
87460,2596,113
87461,2596,139
87293,2599,61
87294,2599,64
87224,2600,88
87225,2600,163
87226,2600,172
87295,2601,58
87296,2601,80
