id,saker_id,"personer_id"
17199,2202,"PETL"
17256,2210,"MHG"
17257,2211,"JOA"
17268,2212,"JPR"
17258,2215,"MODA"
17259,2216,"AUB"
17260,2222,"OAS"
17261,2229,"MHG"
17262,2230,"SIO"
17198,2240,"GK"
17169,2241,"HBL"
17269,2242,"ED"
17166,2251,"TR"
17182,2252,"IVO"
17246,2254,"BB"
17219,2275,"CIH"
17220,2275,"GS"
17221,2275,"JK"
17222,2275,"KHA"
17223,2275,"LK"
17224,2275,"OH"
17225,2275,"SHL"
17226,2275,"VK"
17008,2276,"GKG"
17194,2281,"TEJ"
17134,2282,"AWN"
17210,2319,"ODG"
17156,2337,"FKM"
17141,2374,"VK"
17211,2389,"JIA"
17165,2406,"OHE"
17118,2407,"IVK"
17120,2424,"BJØB"
17144,2425,"RKL"
17155,2426,"AST"
17121,2454,"BJØB"
17161,2466,"JR"
17170,2471,"UEK"
17292,2491,"LGL"
17197,2492,"JP"
17293,2500,"LGL"
17074,2505,"JIA"
17135,2509,"PB"
17123,2510,"OKD"
17153,2528,"KHA"
17171,2564,"MN"
17195,2565,"JH"
17196,2566,"OKD"
17122,2567,"SVH"
17133,2568,"KUAL"
17160,2569,"EGH"
17145,2571,"KKG"
17146,2572,"SFS"
17009,2575,"HBL"
16983,2577,"BHH"
17003,2578,"HTN"
16984,2579,"JOA"
17127,2580,"LOSO"
17011,2581,"HBL"
17091,2582,"ELSK"
17092,2583,"MN"
17048,2586,"KAO"
17010,2587,"JP"
17037,2588,"TROH"
17038,2589,"TROH"
17047,2591,"GGF"
17004,2593,"REIG"
17005,2595,"ANH"
17049,2596,"UAA"
17006,2599,"EOS"
16979,2600,"TEJ"
17007,2601,"ED"
16980,2602,"LGL"
17057,2603,"SIVJ"
17036,2607,"ODG"
16981,2609,"LGL"
16982,2610,"LGL"
17050,2611,"ARN"
17051,2612,"RTV"
17150,2614,"SMY"
17151,2615,"OR"
17056,2617,"BEH"
17026,2628,"SEN"
16986,2632,"PEOW"
16987,2633,"GHA"
16988,2634,"EHO"
17070,2635,"DE"
16985,2636,"BTG"
17024,2637,"FKM"
17025,2639,"BJH"
17064,2640,"AMN"
17023,2652,"SKO"
17083,2653,"SKO"
17052,2654,"AL"
17053,2655,"MTI"
17065,2660,"RHRE"
17020,2661,"AD"
16989,2663,"IVO"
17128,2668,"LLU"
17021,2669,"ES"
17012,2671,"OTL"
17013,2672,"AGV"
16990,2675,"EIJ"
17002,2678,"GKG"
17148,2680,"AG"
17022,2683,"TR"
17088,2687,"BHI"
17149,2689,"HTN"
17159,2690,"MABV"
17096,2691,"RK"
17115,2692,"LR"
17124,2693,"PKF"
17100,2695,"JPR"
17039,2696,"TROH"
17089,2713,"TNY"
17019,2714,"TR"
17079,2715,"JIA"
17187,2760,"SEBA"
17101,2776,"AWN"
17067,2789,"JH"
17131,2790,"OLGB"
17077,2791,"ADV"
17078,2804,"JLS"
17113,2843,"KHA"
17097,2844,"PEM"
17130,2850,"ANH"
16524,2855,"LGL"
17125,2865,"OLAG"
17090,2866,"GHA"
17095,2870,"TROH"
17116,2879,"LR"
17068,2883,"ABS"
17114,2889,"VK"
17152,2892,"GKV"
17147,2907,"ELSK"
17129,2924,"SMY"
17081,2958,"CIH"
17082,2959,"GS"
17126,2961,"RHRE"
17069,2962,"UEK"
17080,2963,"PETL"
16514,3001,"DJF"
15806,3005,"OTK"
14723,3006,"SOH"
14724,3007,"DGH"
14718,3008,"TTH"
14719,3009,"TTH"
14720,3010,"TTH"
14721,3011,"TTH"
14722,3012,"TTH"
15852,3014,"KNA"
15446,3015,"OTL"
15826,3016,"KNA"
